an1	tu1	tu1	tu1	tu1	tu1	tu1	tu1	tu1	tu1	tr1	tu1	tu1	tu1	tu1	tu1	tu1	tu1	tu1	tu1	an2
tu4	pu	f	f	f	f	f	f	f	f	tu6	f	f	f	f	f	f	f	f	pu	tu2
tu4	f	si1	f	an5	tu5	pe2	f	si1	f	pe3	f	si1	f	pe4	tu5	an6	f	si1	f	tu2
tu4	f	f	f	pe3	f	f	f	f	f	f	f	f	f	f	f	pe3	f	f	f	tu2
tr4	tu5	pe2	f	f	f	pe1	f	pe4	tu5	tr5	tu5	pe2	f	pe1	f	f	f	pe4	tu5	tr2
tu4	f	f	f	pe4	tu5	tr6	f	f	f	tu6	f	f	f	tr7	tu5	pe2	f	f	f	tu2
tu4	f	pe1	f	f	f	tr7	tu5	pe2	f	pe3	f	pe4	tu5	tr6	f	f	f	pe1	f	tu2
tu4	f	pe3	f	si1	f	pe3	em	em	em	em	em	em	em	pe3	f	si1	f	pe3	f	tu2
tu4	f	f	f	f	f	f	em	an5	pe2	tu7	pe4	an6	em	f	f	f	f	f	f	tu2
tu4	f	pe4	tu5	pe2	f	pe1	em	tu6	gh	em	gh	tu6	em	pe1	f	pe4	tu5	pe2	f	tu2
tu4	f	f	f	f	f	tu6	em	tu6	em	em	em	tu6	em	tu6	f	f	f	f	f	tu2
tu4	f	pe1	f	si1	f	pe3	em	tu6	gh	em	gh	tu6	em	pe3	f	si1	f	pe1	f	tu2
tu4	f	tu6	f	f	f	f	em	an8	tu5	tu5	tu5	an7	em	f	f	f	f	tu6	f	tu2
tu4	f	an8	tu5	pe2	f	si1	em	em	em	em	em	em	em	si1	f	pe4	tu5	an7	f	tu2
tu4	f	f	f	f	f	f	f	pe4	tu5	tr5	tu5	pe2	f	f	f	f	f	f	f	tu2
tr4	tu5	pe2	f	si1	f	pe1	f	f	f	tu6	f	f	f	pe1	f	si1	f	pe4	tu5	tr2
tu4	f	f	f	f	f	an8	tu5	pe2	f	pe3	f	pe4	tu5	an7	f	f	f	f	f	tu2
tu4	f	pe1	f	si1	f	f	f	f	f	f	f	f	f	f	f	si1	f	pe1	f	tu2
tu4	f	pe3	f	f	f	pe4	tu5	pe2	f	pe1	f	pe4	tu5	pe2	f	f	f	pe3	f	tu2
tu4	pu	f	f	pe1	f	f	f	f	f	tu6	f	f	f	f	f	pe1	f	f	pu	tu2
an4	tu3	tu3	tu3	tr3	tu3	tu3	tu3	tu3	tu3	tr3	tu3	tu3	tu3	tu3	tu3	tr3	tu3	tu3	tu3	an3
